,name,lat,lng
0,西安丽思卡尔顿酒店,34.230858709876436,108.90050393317577
1,西安临潼悦椿温泉酒店,34.36800762565602,109.18599619337525
2,西安威斯汀大酒店,34.2215197611097,108.96872973585857
3,西安皇冠假日酒店,34.238574015987076,108.94176292946622
4,西安W酒店,34.20280699064904,108.99496864362258
5,西安经开洲际酒店,34.34571006129981,108.95159482666156
6,西安盛美利亚酒店,34.21415493792634,108.98292599621199
7,西安香格里拉大酒店,34.2392133670797,108.9044207736178
8,西安豪享来温德姆至尊酒店,34.21209828223589,108.97229390907063
9,西安浐灞华邑酒店,34.35034594859067,109.04920696035556
10,西安唐华华邑酒店,34.22373489665944,108.97504473057342
11,西安索菲特人民大厦,34.271183349525046,108.96618141039758
12,西安经开智选假日酒店,34.3440645925206,108.95060875631913
13,西安索菲特传奇酒店,34.27163864937697,108.96525514541833
14,西安君悦酒店,34.19855282563083,108.8807554016165
15,西安印力诺富特酒店,34.298738385854875,108.95399913858644
16,西安豪享来温德姆至尊公寓,34.214023163245024,108.97223460744893
17,西安中晶华邑酒店,34.23858301019643,108.88411748212698
18,西安東舍酒店,34.26174429578341,108.94814431333434
19,西安绿地假日酒店,34.20004814584516,108.8899023255636
20,西安大都荟套房假日酒店,34.24293792822587,108.90006245083715
21,西安万丽酒店,34.20076891430551,108.96054273856213
22,大天瑞斯丽酒店,34.23786024503577,108.88763216023528
23,西安赛瑞喜来登大酒店（城北）,34.298554352097966,108.94843553410125
24,西安凯悦酒店,34.20989558978732,108.99377025960631
25,西安蓝海风万怡酒店,34.32436407724417,108.94027894917843
26,西安喜来登大酒店,34.264612850928835,108.90438014221786
27,西安君乐城堡酒店,34.25501451858426,108.95152758141639
28,西安高新希尔顿酒店,34.226625095061785,108.89439735914738
29,西安万豪行政公寓,34.238979167065615,108.90143774245931
0,西安豪华美居人民大厦,34.272540544696,108.96543023047913
1,西安钟楼智选假日酒店,34.263323468370906,108.95292675645742
2,星河湾酒店,34.393406031305524,108.84367496613068
3,西安鼓楼金茂酒店,34.263802228541394,108.94972352907648
4,西安富力希尔顿酒店,34.27082481132441,108.97288660917708
5,曲江国际饭店,34.23162513032141,108.98800348637312
6,西安浐灞艾美酒店,34.34509919074148,109.02209336121335
7,7天西安大雁塔历史博物馆店,34.22937990929968,108.96454565316066
8,西安大雁塔假日酒店,34.235346792070594,108.96379933105091
9,西安汉唐驿国际青年旅舍,34.268417524838384,108.95806574095899
10,七贤国际青年旅舍,34.279815511727584,108.961317388752
11,阳光国际大酒店,34.28062305561084,108.96997299332308
12,西安盛捷新地城服务公寓,34.235692823247255,108.94162779254684
13,西安锦江之星解放路万达广场店,34.26866301496274,108.96943918168905
14,天朗时代大酒店,34.27422862983261,108.92834763885324
15,建国饭店,34.264932792018236,109.00182511259142
16,西安天骊君廷大酒店,34.22462972738385,108.91928177121474
17,古都文化大酒店,34.27512665427512,108.93837805772482
18,西安新兴温德姆酒店,34.276030649520344,109.0026005121829
19,西安阳光城希尔顿花园酒店,34.17455598507053,108.87548365124695
20,西安大唐博相府文化艺术酒店,34.22453811783047,108.97195920182519
21,西安亚朵酒店南门店,34.25687639325748,108.9572050031436
22,7天优品·西安火车站店,34.28000493854981,108.96642165054517
23,西安天域凯莱大饭店,34.24905283943961,108.9700060809559
24,Holiday Inn Xi'an Chanba,34.34119986912125,109.05741870974441
25,西安汉庭酒店大雁塔历史博物馆店,34.231843587307935,108.96165705656117
26,西安锦江国际酒店,34.34315104793381,109.02433139136396
27,金花豪生国际大酒店,34.256771145641046,108.95002199675999
28,锦江之星西安建国门店,34.2582825596666,108.97904460619093
29,7天西安大差市万达新天地店,34.25865535746299,108.9697092325364
0,志诚丽柏酒店,34.240085764138904,108.91194730592737
1,7天酒店·西安钟鼓楼第四医院大差市店,34.26844470240933,108.97170302712003
2,陕西奥罗国际大酒店,34.26942624811519,108.9602793426115
3,锦江之星品尚西安高新南二环西工大店,34.24344572954464,108.9185557861062
4,秦城小巷青年旅舍,34.271120514234404,108.93702409016379
5,天朗森柏大酒店,34.244118222858994,108.87882970683775
6,西安左艺术时尚精品酒店钟楼店,34.26228617694375,108.9551864514524
7,宜必思酒店西安高新店,0,0
8,华美达兆瑞酒店,34.27168431612457,108.95397987918781
9,西安中建馨乐庭高新服务公寓,34.24845717078074,108.88811241020197
10,空港大酒店,34.440636614448486,108.76686199414836
11,全季西安高新路店,34.23231919172329,108.90811015270906
12,西安中兴和泰酒店,34.19128822150905,108.89112272591947
13,西安汉庭科技路店,34.23941702038535,108.90799215165373
14,禹龙国际酒店,0,0
15,东方大酒店,34.24142502670081,108.94539908022561
16,西安宾馆,34.244401243052415,108.95287249929827
17,Time Tunnel Designer Hotel,34.275827943848874,109.06618951587193
18,皇后大酒店,34.2662286377982,108.99487109149216
19,西安派酒店碑林博物馆和平门店,34.25710196664293,108.972727663342
20,华清爱琴海国际温泉酒店,34.3753498130804,109.20273616266432
21,西安时空之旅假日公寓酒店,34.29112001453715,108.92607406125143
22,西安大唐西市酒店,34.25213725907828,108.91513809941983
23,西安锦江之星科技二路软件园店,34.23083613858286,108.89115437370833
24,君诚国际酒店,34.27540159938261,108.93442013470309
25,西安铂菲朗酒店,34.34354261126664,108.94030967614073
26,西安汉庭优佳钟楼南门酒店,34.25953261856311,108.95257568075469
27,西安左右客酒店,34.23924125254906,108.90163797911896
28,曲江惠宾苑宾馆,34.2063234534812,108.96954879287729
29,慈恩客栈,34.22908248251101,108.9619378687803
